abm-474-2019-00;1;2019-09-19;0;1;66;"los hornos";54;;149;150;1900;mstefano
abm-679-2019-00;4;2019-09-30;0;1;135;caba;esteban_de_luca;1620;;;1246;gsanluis
abn-549-2021-00;1;2021-02-25;0;1;66;"altos de san lorenzo";29;;92;;1901;mstefano
abn-549-2021-01;1;2021-11-17;0;1;66;"altos de san lorenzo";29;;92;;1901;mstefano
abp-073-2019-00;1;2019-10-13;0;1;66;"villa elvira";95;19;;;1900;mstefano
abp-230-2019-01;1;2019-06-04;0;1;14;berisso;31;;162;163;1923;mstefano
abp-570-2018-00;4;2018-08-15;0;1;135;caba;charrua;2890;;;1437;gsanluis
abr-007-2018-00;1;2018-04-07;0;1;66;arana;618;511;;;1900;mstefano
abv-204-2022-00;1;2022-06-14;0;1;66;"san carlos";139;188;;;1901;mstefano
ABV-541-2021-00;5;2021-09-11;0;1;85;moreno;"la pintura";3552;;;1740;fcohen
abv-543-2022-00;5;2022-06-08;1;4;65;laferrere;tarija;5307;;;1757;slugo
aca-675-2022-00;5;2022-10-02;0;1;116;"Bella vista";"Juan manuel de rosas";631;;;1661;mnieves
acb-286-2021-00;4;2021-07-29;0;1;4;burzaco;lapacho;625;;;1852;asbruzzi
acb-467-2019-00;1;2019-05-26;0;1;66;"los hornos";"72 bis";2696;148;149;1900;mstefano
acb-467-2019-01;1;2019-10-26;0;1;66;"los hornos";"72 bis";2696;;;1900;mstefano
ACB-923-2022-00;1;2022-08-03;0;1;66;"VILLA ELVIRA";123;0;;;1900;mstefano
acc-244-2021-00;4;2021-10-22;0;1;135;caba;coronel_salvador;840;;;1167;asbruzzi
ACC-566-2023-00;5;2023-05-25;0;1;85;Moreno;Benti;2151;;;1744;mnieves
acd-097-2022-00;4;2022-02-06;0;1;6;avellaneda;lebensohn;938;;;1870;asbruzzi
acd-143-2021-00;4;2021-10-09;0;1;65;"ciudad evita";608;8;;;1778;asbruzzi
acd-504-2018-00;4;2018-07-15;0;1;41;"barrio los pilares";boston;2958;;;1888;gsanluis
acf-323-2021-00;5;2021-08-15;1;3;61;hurlingham;floresta;4548;;;1686;galfiero
acf-323-2021-01;5;2021-11-26;0;1;61;hurlingham;floresta;4548;;;1686;galfiero
acf-323-2022-01;5;2022-03-14;0;1;61;hurlingham;floresta;4548;;;1686;cgroppo
acf-936-2021-00;1;2021-01-28;0;1;66;ringuelet;115;1087;;;1900;mstefano
ACG-560-2022-00;1;2022-06-18;0;1;66;"LOS HORNOS";62;1923;;;1900;mstefano
ACH-091-2023-00;5;2023-06-16;0;1;62;Ituzaingo;"San isidro";2851;;;1714;mnieves
acl-632-2022-00;3;2022-10-13;1;1;4;burzaco;timbo;780;;;1852;agraziano
acl-880-2018-01;1;2018-11-20;0;1;66;"san carlos";522;1062;133;;1901;mstefano
acm-436-2021-00;4;2021-12-18;0;1;41;"florencio varela";538;650;;;1888;asbruzzi
acm-436-2022-00;4;2022-04-21;0;1;41;"florencio varela";538;650;;;1888;asbruzzi
acp-405-2022-00;5;2022-08-24;1;2;85;Moreno;Campichuelo;1393;;;1744;mnieves
acq-712-2018-00;1;2018-02-20;0;1;73;Lobos;Lastelli;1612;;;7240;rmerlino
acr-127-2019-00;5;2019-07-09;0;1;65;isidro_casanova;paris;186;;;1765;cgroppo
acr-423-2021-00;5;2021-08-18;0;1;61;"villa tesei";pasco;460;;;1688;galfiero
acr-580-2018-00;1;2018-06-30;0;1;66;"city bell";477;2662;;;1902;mstefano
acs-068-2018-00;1;2018-06-04;0;1;41;"barrio pepsi";moron;859;;;1888;mstefano
acv-249-2019-01;1;2019-06-21;0;1;66;"SAN CARLOS";42;;137;136;1901;mstefano
acv-300-2018-00;1;2018-11-29;0;1;66;"la plata";31;232;;;1900;mstefano
ada-535-2019-00;5;2019-06-01;0;1;65;"gonzalez catan";el_lirio;4893;;;1758;slugo
ADA-727-2023-00;5;2023-05-09;0;1;85;Moreno;"Pascal blas";1761;;;1744;mnieves
ada-754-2022-01;4;2022-10-08;0;1;98;guernica;franco_escalada;770;;;1862;gsanluis
ada-890-2021-00;4;2021-12-27;0;1;13;berazategui;47;1842;;;1884;asbruzzi
ada-917-2019-01;5;2019-09-07;0;1;65;"gonzalez catan";el_lirio;4893;;;1758;slugo
adb-071-2019-00;1;2019-05-20;0;1;66;"villa elvira";6;3240;;;1900;mstefano
adc-195-2022-00;1;2022-07-07;0;1;;;;;;;;mstefano
adc-593-2018-00;1;2018-09-21;0;1;66;tolosa;29;1936;513;514;1900;mstefano
adc-739-2019-00;1;2019-06-20;1;1;66;"lisandro olmos";196;626;;;1903;mstefano
adc-739-2019-01;1;2019-10-25;0;1;66;"lisandro olmos";196;626;;;1903;mstefano
adc-740-2018-00;5;2018-07-26;0;1;82;merlo;marcos_sastre;753;;;1722;slugo
adc-740-2019-00;5;2019-10-02;0;1;82;merlo;marcos_sastre;753;;;1722;slugo
adc-848-2018-00;4;2018-06-05;0;1;41;"florencio varela";juarez_celman;934;;;1888;gsanluis
adf-492-2019-03;4;2019-09-22;0;1;101;quilmes;835;2061;;;1878;gsanluis
adf-492-2019-04;4;2019-10-09;0;1;101;quilmes;835;2061;;;1878;gsanluis
adf-513-2022-00;1;2022-06-27;0;1;66;"altos de san lorenzo";94;3052;;;1901;mstefano
adf-906-2018-00;1;2018-09-15;0;1;66;abasto;420;;"ruta 2";;1903;mstefano
adf-947-2022-00;1;2022-07-15;0;1;41;bosque;"937 a ";3772;;;1888;mstefano
adg-003-2022-00;5;2022-06-03;0;1;65;"san justo";Rivera_indarte;2851;;;1754;cgroppo
ADG-344-2019-00;5;2019-09-12;0;1;86;"El palomar";Atahualpa;1356;;;1685;mnieves
adg-626-2021-00;5;2021-01-06;0;1;82;merlo;miranda;1297;;;1722;cgroppo
ADG-726-2022-00;1;2022-06-12;0;1;41;"FLORENCIO VARELA";CANE;1124;;;1888;mstefano
adl-858-2018-00;1;2018-06-11;0;1;66;ringuelet;119;;520;"520 bis";1901;mstefano
adm-189-2022-00;4;2022-06-30;0;1;101;solano;892;1535;;;1881;gsanluis
adm-945-2018-00;1;2018-07-20;0;1;66;"villa elvira";96;398;;;1900;mstefano
adp-917-2021-00;1;2021-11-22;0;1;66;poblet;"ruta 36";31;;;1907;mstefano
adr-383-2018-00;1;2018-10-22;0;1;66;"melchor romero";158;;528;;1903;mstefano
ADR-621-2023-00;5;2023-05-22;0;1;85;"Barrio santa elena";"El moro";15;;;1744;mnieves
adv-958-2019-00;5;2019-07-17;0;1;80;"marcos paz";dardo_rocha;3185;;;1727;cgroppo
aea-182-2019-00;1;2019-06-03;0;1;66;"lisandro olmos";"ruta 36";;90;;1902;mstefano
aea-195-2019-00;1;2019-07-24;0;1;13;berazategui;150;4999;;;1884;mstefano
AEA-227-2023-00;5;2023-04-23;0;1;55;"general rodriguez";Florida;502;;;1748;mnieves
aea-340-2018-00;4;2018-08-22;0;1;101;bernal;rio_bermejo;3254;;;1876;gsanluis
AEA-576-2022-00;1;2022-05-05;0;1;66;"SAN CARLOS";35;1060;;;1900;mstefano
AEA-868-2022-00;1;2022-05-10;0;1;66;"LOS HORNOS";160;0;62;63;1900;mstefano
aea-885-2020-00;3;2020-02-08;1;3;41;"florencio varela";martin_grass;440;;;1888;agraziano
aeb-042-2022-00;5;2022-03-17;0;1;62;ituzaingo;san_justo;3795;;;1714;cgroppo
aeb-042-2022-01;5;2022-06-10;0;1;62;ituzaingo;san_justo;3795;;;1714;cgroppo
aeb-250-2018-00;1;2018-07-17;0;1;66;"villa elvira";71;92;;;1900;mstefano
aeb-463-2019-01;1;2019-01-05;0;1;66;"altos de san lorenzo";131;;86;;1901;mstefano
aeb-473-2019-00;5;2019-08-14;0;1;61;"villa tesei";maestra_rodriguez;2251;;;1686;cgroppo
AEB-528-2023-00;5;2023-05-19;0;1;75;"Barrio santa marta";"Los pasajes";349;"Casa 30";;6700;mnieves
aec-017-2021-00;5;2021-07-12;0;1;86;palomar;la_plata;1271;;;1685;galfiero
aec-050-2018-00;1;2018-09-10;0;1;66;"city bell";435;;137;;1902;mstefano
AEC-137-2023-00;5;2023-05-05;0;1;85;Moreno;"Infanga isabel";6646;;;1744;mnieves
aec-818-2018-00;1;2018-07-28;0;1;66;"VILLA ELVIRA";121;3434;0;0;1900;mstefano
aec-988-2019-00;1;2019-01-09;0;1;65;"gonzalez catan";"puerto argentino";2576;;;1758;mstefano
aed-324-2023-00;5;2023-05-11;0;1;62;ituzaingo;avenida_ratti;3730;;;1714;galfiero
aee-909-2019-00;1;2019-08-09;0;1;66;"los hornos";63;;157;;1900;mstefano
aef-011-2018-00;1;2018-07-01;0;1;66;"villa elvira";610;650;;;1900;mstefano
aef-685-2021-00;4;2021-11-30;0;1;4;glew;edison;8;;;1856;asbruzzi
aeg-050-2018-01;1;2018-11-14;0;1;66;"villa elvira";610;;17;18;1900;mstefano
AEG-318-2023-00;5;2023-05-28;0;1;82;Merlo;Strauss;271;;;1722;mnieves
aeg-324-2019-00;1;2019-07-19;0;1;66;"los hornos";52;;157;158;1900;mstefano
aeg-324-2019-01;1;2019-08-21;0;1;66;"los hornos";52;;157;158;1900;mstefano
AEG-472-2023-00;5;2023-06-22;;;85;Trujui;Tablada;1496;;;1744;mnieves
aeg-667-2022-00;4;2022-08-04;0;1;40;"monte grande";jose_hernandez;1407;;;1842;gsanluis
aeg-667-2022-01;4;2022-09-23;0;1;38;"monte grande";jose_hernandez;1407;;;1842;gsanluis
aeg-730-2021-00;1;2021-10-16;1;1;76;magdalena;"presidente peron";608;;;1913;mstefano
aeg-758-2020-00;5;2020-01-31;0;1;65;"gonzalez catan";hualfin;1243;;;1759;slugo
aeg-926-2019-00;1;2019-08-28;1;1;14;berisso;18;233;;;1923;mstefano
aej-652-2019-00;1;2019-05-27;0;1;41;"ingeniero juan allan";"dig luis fontana";3852;15;16;1888;mstefano
ael-200-2018-00;5;2018-06-19;0;1;116;"bella vista";rio_segundo;3309;;;1663;slugo
ael-306-2018-00;1;2018-06-09;0;1;66;"san carlos";38;;;139;1901;mstefano
aem-020-2018-00;1;2018-04-07;0;1;66;"altos de san lorenzo";71;2063;000;000;1904;rmerlino
aem-076-2022-00;4;2022-04-29;0;1;4;burzaco;nandubay;1375;;;1852;asbruzzi
aem-368-2018-01;4;2018-07-25;0;1;6;wilde;bahia_blanca;1699;;;1875;gsanluis
aen-749-2018-02;1;2018-09-23;0;1;66;"altos de san lorenzo";83;1370;;;1901;mstefano
aeo-290-2022-00;1;2022-06-12;0;1;66;"lisandro olmos";197;0;64;;1903;mstefano
aeo-928-2022-00;4;2022-05-04;0;1;67;lanus;benito_perez_galdos;4023;;;1824;asbruzzi
aep-177-2019-00;1;2019-09-29;1;1;66;"san carlos";151;;36;;1901;mstefano
aep-330-2022-00;5;2022-09-28;0;1;85;moreno;sahakara;900;;;1722;cgroppo
aep-491-2022-00;5;2022-09-24;0;1;86;Castelar;"Ventura bustos";1641;;;1712;mnieves
aep-557-2019-00;1;2019-05-28;0;1;66;"la plata";139;184;165;136;1900;mstefano
AEP-859-2019-00;5;2019-06-25;1;1;85;Moreno;Chuquisaca;205;;;1744;mnieves
aeq-383-2018-00;5;2018-06-18;0;1;86;"el palomar";monoblock;23;"acceso 8";;1684;slugo
aer-035-2018-00;3;2018-07-18;1;1;41;"florencio varela";paisandu;1040;;;1888;jveslosada
aer-035-2019-00;3;2019-05-14;1;1;41;"florencio varela";paisandu;1040;;;1888;agraziano
aer-567-2021-00;5;2021-09-26;0;1;80;"marcos paz";garay;1070;;;1727;cgroppo
aer-567-2021-01;5;2021-10-23;0;1;80;"marcos paz";garay;1070;;;1727;cgroppo
aer-597-2019-00;3;2019-07-13;1;1;41;"florencio varela";18B;608;;;1888;agraziano
aer-749-2021-00;4;2021-09-08;0;1;74;"lomas de zamora";marsella;761;;;1832;asbruzzi
AER-802-2022-00;5;2022-08-14;1;1;86;"el palomar";damico;1893;;;1685;cgroppo
aer-805-2022-00;4;2022-12-17;1;1;41;bosques;san_geronimo;987;;;1888;gsanluis
aer-974-2018-00;5;2018-07-28;0;1;85;moreno;iguazu;2377;;;1744;slugo
aes-110-2018-00;1;2018-08-06;0;1;66;"villa elvira";94;;116;117;1900;mstefano
aes-279-2019-00;1;2019-05-09;0;1;98;guernica;133;652;;;1858;mstefano
aes-454-2018-00;1;2018-01-25;0;1;66;gonnet;30;;495;496;1897;rmerlino
aev-159-2019-00;1;2019-05-16;1;1;66;"los hornos";151;;72;;1900;mstefano
aev-206-2022-00;1;2022-05-15;0;1;;;135;;;;1901;mstefano
aev-251-2019-00;1;2019-05-23;0;1;14;berisso;16;;montevideo;;1923;mstefano
aev-709-2022-00;4;2022-12-15;0;1;6;wilde;lynch;456;;;1875;gsanluis
aey-144-2022-00;1;2022-05-05;0;1;;;;;;;;mstefano
aey-xxx-2021-00;1;2021-09-12;0;1;66;"los hornos";52;;151;152;1900;mstefano
afa-617-2018-00;1;2018-07-02;0;1;66;"san carlos";148;96;"33bis ";y24;1901;mstefano
afc-275-2022-00;1;;0;1;66;"san carlos";137;547;;;1901;mstefano
afc-850-2021-00;1;2021-08-30;0;1;66;"los hornos";76;;140;141;1900;mstefano
afe-253-2022-00;4;2022-06-30;0;1;101;solano;891;4718;;;1881;gsanluis
aff-873-2022-00;4;2022-07-21;0;1;67;"monte chingolo";sitio_de_montevideo;3729;;;1825;gsanluis
AFG-260-2022-00;1;2022-06-26;0;1;66;ABASTO;218;0;45;46;1903;mstefano
afg-437-2023-00;3;2023-05-03;1;3;98;guernica;100;30;;;1862;agraziano
afk-440-2021-00;1;2021-09-26;0;1;66;"la plata";28;;;;1900;mstefano
afl-026-2019-01;4;2019-11-17;0;1;135;"barrio 15";zuviria;6000;;;1439;gsanluis
afl-026-2019-02;4;2019-12-01;0;1;135;"barrio 15";zuviria;6000;;;1439;gsanluis
afl-346-2019-00;1;2019-06-14;0;1;13;"villa españa";"149 a";3155;;;1864;mstefano
AFL-711-2023-00;5;2023-05-13;0;1;82;"Mariano acosta";Elsina;;Sn;;1723;mnieves
afm-745-2020-00;5;2020-01-10;0;1;62;ituzaingo;pringles;2927;;;1714;slugo
afm-769-2020-00;1;2020-12-25;0;1;66;abasto;208;;42;;1903;mstefano
afm-769-2021-01;1;2021-01-04;0;1;66;abasto;515;;r36;;1903;mstefano
afm-769-2021-02;1;2021-12-09;0;1;66;abasto;515;0;"ruta 36";192;1903;mstefano
